section_id,year,term,prompt_type,comment_text
F2023-24,2023,Fall,change,extra credit
F2023-24,2023,Fall,change,actually teach in class
F2023-24,2023,Fall,change,The class was basically asynchronous and I took a synchronous section intentionally because I learn better in that environment.
F2023-24,2023,Fall,change,nothing
F2023-24,2023,Fall,growth,"He was always available to meet and provide assistance whenever requested. He was also always well prepared and easily
approachable. He also was quick to communicate whenever changes occurred and very clearly communicated directions and
expectations."
F2023-24,2023,Fall,growth,"Very nice instructor, super helpful"
F2023-24,2023,Fall,growth,I was able to tackle content independently or with the help of ta's
F2023-24,2023,Fall,growth,NA
F2023-24,2023,Fall,growth,Professor. Ely's lectures and class material were very beneficial to my learning progress and intellectual growth in the subject matter.
F2023-24,2023,Fall,growth,He allows us to learn in ways that benefit us
F2023-24,2023,Fall,growth,none
F2023-24,2023,Fall,growth,always available to help and provided extra problems to practice with.
F2023-24,2023,Fall,other,nope
F2023-24,2023,Fall,other,NA
F2023-24,2023,Fall,other,"The course material is difficult and rightfully so, but I think the structure of having only tests as your grades really degrades students
who try hard and do all the work but still don't do so well on the tests."
F2023-24,2023,Fall,other,"If the class was asynchronous, then make that known on WebReg. I do not like the professor's ""system"" of recording lectures and
making us watch it instead of getting taught in person. This was supposed to be a in person class."
F2023-24,2023,Fall,other,N/A
F2023-24,2023,Fall,other,n/a
F2023-24,2023,Fall,other,no
F2023-24,2023,Fall,other,"I thought that this course was going to be particularly difficult and boring, but Professor Romulo was able to make the coursework
interesting, engaging, and relevant to me."
F2023-23,2023,Fall,best,class structure
F2023-23,2023,Fall,best,The hybrid format of the classes
F2023-23,2023,Fall,best,n/a
F2023-23,2023,Fall,best,– being able to rewatch lectures
F2023-23,2023,Fall,best,"I like the flexibility Professor Romulo provides us. I also liked being able to review the recorded lectures again if I had trouble
remembering the material."
F2023-23,2023,Fall,best,All lectures and modules were posted online.
F2023-23,2023,Fall,best,Format
F2023-23,2023,Fall,change,none
F2023-23,2023,Fall,change,Nothing
F2023-23,2023,Fall,change,n/a
F2023-23,2023,Fall,change,There is not much I would do differently..
F2023-23,2023,Fall,change,More questions in lecture similar to homework
F2023-23,2023,Fall,growth,very informative and eager to help students
F2023-23,2023,Fall,growth,No he's a great professor great with communication
F2023-23,2023,Fall,growth,n/a
F2023-23,2023,Fall,growth,– always providing office hours and opportunity to ask questions
F2023-23,2023,Fall,growth,"He allows us to review course material and upload it in canvas. This has been helpful as I can rewatch or rewind the video as much as I
have to. Also, he encourages us to come to class if we have any questions about the class material we are learning. This provides us the
opportunity to dive deeper into the material and ask questions if we need clarification. It provides class time for us to go over
anything we do not understand. I have gone to him multiple times already throughout the semester and he took his time to explain the
material to me. He also allows us to come in to ask questions during any of the sections he teaches. This has been more convenient as I
can go during the time that best works for me and I can see him multiple times in a day if I need help with something."
F2023-23,2023,Fall,growth,Creating spaces for us to ask questions
F2023-23,2023,Fall,other,none
F2023-23,2023,Fall,other,none
F2023-23,2023,Fall,other,n/a
F2023-23,2023,Fall,other,N/A
F2023-22,2023,Fall,best,Nothing
F2023-22,2023,Fall,best,"I like learning about certain topics I have not been informed about once before, and taking this course has allowed me to become more informed."
F2023-22,2023,Fall,best,The flexible schedule of watching videos!
F2023-22,2023,Fall,best,I like the pacing of the course and the way it is taught in a manner that is really easy to understand.
F2023-22,2023,Fall,best,The applications it has to future business decision and the life of a professional.
F2023-22,2023,Fall,change,Make it easier or guided learning because we basically teach it to ourselves
F2023-22,2023,Fall,change,"I would most likely cut down on a few topics, as I believe it is a bit difficult to try to comprehend many topics throughout the semester."
F2023-22,2023,Fall,change,I will assign more small assignments to decrease the percentage of each homework.
F2023-22,2023,Fall,change,"The only thing I would say is that the Professor took a long time to answer emails, but that’s understandable because of how many
sections he has. Maybe having a TA help with emails or just spend more time on them."
F2023-22,2023,Fall,change,"Rather than having four homework quizzes, complete two or three longer format exams."
F2023-22,2023,Fall,growth,"He helped me realize this class is challenging. Not his fault though, the class is just real hard"
F2023-22,2023,Fall,growth,He always encourages questions and always wants to make sure we understand the material.
F2023-22,2023,Fall,growth,Through pushing out of our comfort zone to learn by ourselves through recording!
F2023-22,2023,Fall,growth,"He encouraged us to do problems and to look at certain resources to better understand the material and also to do the problems with
him at he goes. This really helped cement the material in my mind"
F2023-22,2023,Fall,growth,His module format makes it easy to revisit and completely understand the content offered.
F2023-22,2023,Fall,other,Please make it easier to learn this stuff
F2023-22,2023,Fall,other,N/A
F2023-22,2023,Fall,other,Nothing! Good!
F2023-22,2023,Fall,other,N/A
F2023-21,2023,Fall,best,"The lecture videos were very useful, since we could watch them on our own time."
F2023-21,2023,Fall,best,I like how the the topics in the course are very relevant and applicable to any field of business.
F2023-21,2023,Fall,best,The excel portion of the problems
F2023-21,2023,Fall,best,I liked being able to work with both math and Excel to understand different ways to approach problems and optimize solutions.
F2023-21,2023,Fall,change,"I would have in–person review days before every homework to not only answer student questions but also repackage the necessary
information for that homework into quick references and tips to remember. I would also have more assignments besides the 4
homeworks and final to allow for group/individual non–timed work and cushion for grades."
F2023-21,2023,Fall,change,"I would ensure the lectures and slides cover the material on the homework and exam. Some homework assignments had questions
that weren't covered in a lecture."
F2023-21,2023,Fall,change,N/A
F2023-21,2023,Fall,change,"None, was a great teaching method"
F2023-21,2023,Fall,growth,Well prepared lectures and great attention to learning standards.
F2023-21,2023,Fall,growth,His explanations allowed me to have a greater understanding of how operations management applies in real–world circumstances.
F2023-21,2023,Fall,growth,The video lectures helped me practice time management and learning on my own.
F2023-21,2023,Fall,growth,Video lectures with examples
F2023-21,2023,Fall,other,N/A
F2023-21,2023,Fall,other,None
F2023-20,2023,Fall,best,Good
F2023-20,2023,Fall,best,I like the flow of the material and it builds on each other
F2023-20,2023,Fall,best,The course explains difficult concepts very well.
F2023-20,2023,Fall,best,the online lectures and homeworks
F2023-20,2023,Fall,best,"lots of study material, fair assignments"
F2023-20,2023,Fall,best,very flexible
F2023-20,2023,Fall,change,Good
F2023-20,2023,Fall,change,I would provide more intermin HW assignments not the 4 big ones
F2023-20,2023,Fall,change,None
F2023-20,2023,Fall,change,nothing
F2023-20,2023,Fall,change,demonstrate use cases for the material more strongly
F2023-20,2023,Fall,growth,Good
F2023-20,2023,Fall,growth,I thought I learned a lot and the material was presented din a way that was far more interesting than I thought I would be.
F2023-20,2023,Fall,growth,He gave real world examples.
F2023-20,2023,Fall,growth,"Structured the class well, explained things well in lectures"
F2023-20,2023,Fall,other,Good
F2023-20,2023,Fall,other,Class should be in person.
F2023-largeclass,2023,Fall,best,The excel work
F2023-largeclass,2023,Fall,best,Everything
F2023-largeclass,2023,Fall,best,asynchronous format
F2023-largeclass,2023,Fall,best,Nothing
F2023-largeclass,2023,Fall,best,I like the model of this course and how I can learn material in and out of the class.
F2023-largeclass,2023,Fall,best,.
F2023-largeclass,2023,Fall,best,its online
F2023-largeclass,2023,Fall,best,I liked the flexibility it provided
F2023-largeclass,2023,Fall,best,Professor great teacher
F2023-largeclass,2023,Fall,best,I liked the recitations because they provided us with an opportunity to go over the lectures an additional time with a TA.
F2023-largeclass,2023,Fall,best,NA
F2023-largeclass,2023,Fall,best,"I like Professor Neves's flexibility in completing the course content and all the resources he provides for us on Canvas, in terms of
lectures and supplemental materials. He allows us to explore the content on our terms and will enable us to plan how we engage with
the material to fit our schedules. This is extremely helpful since the material can be very dense."
F2023-largeclass,2023,Fall,best,rooted in algebra which is easy
F2023-largeclass,2023,Fall,best,"That there aren't many assignments in the class which could also be bad if you get one bad grade, but the the professor may allow us to
drop one grade which is fair."
F2023-largeclass,2023,Fall,best,Everything is pretty good to me
F2023-largeclass,2023,Fall,best,7 hour period to complete online exams.
F2023-largeclass,2023,Fall,best,I liked how theres many resources available.
F2023-largeclass,2023,Fall,best,I liked the structure of the course.
F2023-largeclass,2023,Fall,best,"I liked how there was a variety of options for getting help. We could go to any lecture or recitation we wanted which gave more
flexibility."
F2023-largeclass,2023,Fall,best,n/a
F2023-largeclass,2023,Fall,best,"What I like most about this class is the video playback, so I can watch it over and over again."
F2023-largeclass,2023,Fall,best,The one upside to this course is the fact that I don't have to attend any sessions
F2023-largeclass,2023,Fall,best,The format of the course.
F2023-largeclass,2023,Fall,change,"Nothing really,"
F2023-largeclass,2023,Fall,change,n/a
F2023-largeclass,2023,Fall,change,I would provide additional videos to explain how the concepts apply in real–life to get a better understanding.
F2023-largeclass,2023,Fall,change,.
F2023-largeclass,2023,Fall,change,I would encourage some more in person incentives to try and engage
F2023-largeclass,2023,Fall,change,nothing
F2023-largeclass,2023,Fall,change,"If I were teaching this course, I would post study guides before the homework assignments so that students knew what to fous on."
F2023-largeclass,2023,Fall,change,NA
F2023-largeclass,2023,Fall,change,"If I were teaching this course, I would offer more formalized lectures as well as all the video material offered on Canvas, and I would
also require student attendance. I believe that requiring attendance would encourage students to engage with the material more
consistently and offer another grade opportunity."
F2023-largeclass,2023,Fall,change,shorter lecture time
F2023-largeclass,2023,Fall,change,I would show up to class first.
F2023-largeclass,2023,Fall,change,Nothing much
F2023-largeclass,2023,Fall,change,"Hold live, in person lectures instead of making us view online recordings of lectures. I learn much better in person."
F2023-largeclass,2023,Fall,change,I would make the slides and lectures more organized. I felt that they were somewhat difficult to understand and digest fully.
F2023-largeclass,2023,Fall,change,"I wouldn't do anything different, I liked how the course was taught."
F2023-largeclass,2023,Fall,change,n/a
F2023-largeclass,2023,Fall,change,"If I taught this class, I think I would teach it the same way the professor taught it. I may also divide 5 students into a team in the first
week of class so that everyone can help each other during study."
F2023-largeclass,2023,Fall,change,"Make the ""in person"" sessions worth attending"
F2023-largeclass,2023,Fall,change,Nothing
F2023-largeclass,2023,Fall,growth,He offers many extra resources we can access if we want to learn more on our own.
F2023-largeclass,2023,Fall,growth,"With the online portion, he encouraged time management and independence"
F2023-largeclass,2023,Fall,growth,Set aside class time as an opportunity for students to ask questions.
F2023-largeclass,2023,Fall,growth,n/a
F2023-largeclass,2023,Fall,growth,NA
F2023-largeclass,2023,Fall,growth,"He is very responsive and polite regarding questions on the material. He provides step by step instructions to problems and works at
our pace."
F2023-largeclass,2023,Fall,growth,The professor’s friendly email reminders and supervision every week pushed me to improve.
F2023-largeclass,2023,Fall,growth,challenging work
F2023-largeclass,2023,Fall,growth,I learned a lot of new information through real–life scenarios
F2023-largeclass,2023,Fall,growth,Recorded Lectures were helpful
F2023-largeclass,2023,Fall,growth,"This course has encouraged my intellectual growth and progress by presenting material I have not encountered before and explaining
all its practical, applicable uses in the business world. My instructor, Romulo Neves Ely, has offered a plethora of resources for us to
use, in terms of both lecture content and complementary/supplemental material to explore the concepts we are learning fully."
F2023-largeclass,2023,Fall,growth,Pretty good to me
F2023-largeclass,2023,Fall,growth,"I have been able to grasp such a great understanding from his teaching methods and have truly experienced growth for a rigorous
course like this one."
F2023-largeclass,2023,Fall,growth,Not at all
F2023-largeclass,2023,Fall,growth,use of excel
F2023-largeclass,2023,Fall,growth,He was very thorough and helpful outside of class.
F2023-largeclass,2023,Fall,growth,He always encourages students to ask questions in class to understand any material that may be confusing.
F2023-largeclass,2023,Fall,growth,N/A
F2023-largeclass,2023,Fall,growth,w
F2023-largeclass,2023,Fall,growth,I don't think I've ever seen the professor in the class or seen a student in the class which makes me worried for my grade in the class.
F2023-largeclass,2023,Fall,growth,N/A
F2023-largeclass,2023,Fall,other,reformat course so it is not like taking an asynchronous course
F2023-largeclass,2023,Fall,other,n/a
F2023-largeclass,2023,Fall,other,.
F2023-largeclass,2023,Fall,other,nothing
F2023-largeclass,2023,Fall,other,"Professor Romulo was very accessible via email, which made the class experience more pleasurable."
F2023-largeclass,2023,Fall,other,NA
F2023-largeclass,2023,Fall,other,Please drop the lowest homework
F2023-largeclass,2023,Fall,other,Nothing
F2023-largeclass,2023,Fall,other,"Poorly taught and delivered course. I performed lower than what I was expecting to on the online examinations, and honestly, for the
amount of time and effort I dedicated to this course, this was quite disappointing to see. A very stressful and difficult course."
F2023-largeclass,2023,Fall,other,n/a
F2023-largeclass,2023,Fall,other,"I signed up for this course under the impression that it was an in–person course that met three times a week. Instead, what I got was
two in–person sessions where the professor asked if we had any questions and if there were none we were dismissed, and a TA session.
I don't understand why the course is advertised as an in–person course when it is essentially asynchronous, given all the content
taught is through posted online lectures."
F2023-largeclass,2023,Fall,other,None
S2023-90,2023,Spring,best,The learning format
S2023-90,2023,Spring,best,his extra lecture materials and lots of office hours
S2023-90,2023,Spring,best,The flexible format of the class.
S2023-90,2023,Spring,best,n/a
S2023-90,2023,Spring,best,The way it was structured.
S2023-90,2023,Spring,best,The lectures online
S2023-90,2023,Spring,best,good
S2023-90,2023,Spring,best,I liked the ability to watch lectures and content on my own time and utilize them to study for exams.
S2023-90,2023,Spring,best,the comprehensiveness of the material
S2023-90,2023,Spring,best,recitations are very helpful
S2023-90,2023,Spring,best,teacher
S2023-90,2023,Spring,change,More opportunity to earn points
S2023-90,2023,Spring,change,nothing
S2023-90,2023,Spring,change,"Less videos per week. I like that the content was very well explained but sometimes it was a lot to go through (sometimes 4 hours).
I would not say to get rid of any of the content but perhaps release less content at a time so it's less overwhelming."
S2023-90,2023,Spring,change,n/a
S2023-90,2023,Spring,change,"I would make it a little easier, it was very difficult"
S2023-90,2023,Spring,change,Easier homework’s and no time limit or backtracking disabled
S2023-90,2023,Spring,change,Organize the canvas course better
S2023-90,2023,Spring,change,same
S2023-90,2023,Spring,change,"I wouldn't change anything, I thought the format was effective and efficient."
S2023-90,2023,Spring,change,i would have offered more explanation in places where students could misunderstand or get stuck
S2023-90,2023,Spring,change,utilise lectures to go over material instead of a open question forum
S2023-90,2023,Spring,change,allow backtracking on homework
S2023-90,2023,Spring,growth,he was great
S2023-90,2023,Spring,growth,n/a
S2023-90,2023,Spring,growth,"His lectures and slides were effective and concise, which I liked very much"
S2023-90,2023,Spring,growth,N/a
S2023-90,2023,Spring,growth,good‘
S2023-90,2023,Spring,growth,I thought the lectures were very informative and helped prepare me for the exams
S2023-90,2023,Spring,growth,"This was a class where you truly get out what you put in. Professor Romulo provided students with a plethra of resources in the
form of recitations and online resources. These provided students with the meant to get help when needed, or to dive farther into
the material if they are interested in it. It was truly refreshing to see a course suited to the needs of all students, whether just taking
the class as a requirement, or taking it for their future career, professor Romulo found a way of tailoring a course to fit everyone."
S2023-90,2023,Spring,growth,nice guy
S2023-90,2023,Spring,other,he was great
S2023-90,2023,Spring,other,n/a
S2023-90,2023,Spring,other,Good professor overall
S2023-90,2023,Spring,other,N/a
S2023-90,2023,Spring,other,"Organize the canvas course better and be present. This teacher is just never present. They canceled class and office hours on so
many occasions. One instance was so he could attend hot dog day. Honestly, I have seen very limited effort from this teacher."
S2023-90,2023,Spring,other,GOOD
S2023-90,2023,Spring,other,N/A
S2023-90,2023,Spring,other,n/a
S2023-25,2023,Spring,best,I liked that he made the class asynchronous while allowing us to sign up to be in person on days we choose.
S2023-25,2023,Spring,best,The online aspect and being able to work at our own pace with many helpful resources like the lectures and recitations.
S2023-25,2023,Spring,best,I like the structure of this course as it permits students to progress through the course material based on what best fits with their schedules and it provides many opportunities to interact with the professor in smaller class–size settings.
S2023-25,2023,Spring,best,The option to learn the material online rather than go to class in person.
S2023-25,2023,Spring,best,I like the baility to
S2023-25,2023,Spring,best,professor and workload.
S2023-25,2023,Spring,best,"I loved that his style of teaching allowed student freedom and flexibility – he gave us plenty of time to do our quizzes and watch
lectures."
S2023-25,2023,Spring,best,N/A
S2023-25,2023,Spring,best,N/A
S2023-25,2023,Spring,best,videos
S2023-25,2023,Spring,best,The course material was challenging but not too difficult
S2023-25,2023,Spring,change,"I would imbed questions in the more ""important"" lectures."
S2023-25,2023,Spring,change,"Give more opportunities for students to improve their grade and learn the material through assignments. It’s only graded on 4 HWs
(quizzes) and the final. I would give more HW that’s worth 15% or so if your grade to help the students learn the material as well as
give them a chance to improve their grade."
S2023-25,2023,Spring,change,"Since I am content with the current structure of and manner in which this course is taught, I do not think that I would do something
differently."
S2023-25,2023,Spring,change,I would not change a thing.
S2023-25,2023,Spring,change,nothing
S2023-25,2023,Spring,change,Perhaps I would try to connect the content to the working world.
S2023-25,2023,Spring,change,N/A
S2023-25,2023,Spring,change,N/A
S2023-25,2023,Spring,change,no
S2023-25,2023,Spring,change,I would give more examples
S2023-25,2023,Spring,growth,"Professor Romulo could imbed questions into the lectures to motivate students to watch the lectures as it can be hard to stay on
top of weekly lectures without due dates."
S2023-25,2023,Spring,growth,"The professor encouraged student intellectual growth and progress by means of attaching optional readings in addition to the
required course lectures so that students who were interested in examining the course material in greater depth would have the
resources to do so."
S2023-25,2023,Spring,growth,It taught me new material that I did not know before.
S2023-25,2023,Spring,growth,good professor.
S2023-25,2023,Spring,growth,Allowed me to challenge myself with many conceptual ideas to real life situations.
S2023-25,2023,Spring,growth,YES
S2023-25,2023,Spring,growth,N/A
S2023-25,2023,Spring,growth,videos
S2023-25,2023,Spring,other,"Overall, I feel he was a fair professor."
S2023-25,2023,Spring,other,I do not have any other comments or suggestions.
S2023-25,2023,Spring,other,none
S2023-25,2023,Spring,other,N/A
S2023-25,2023,Spring,other,N/A
S2023-25,2023,Spring,other,no
S2023-25,2023,Spring,other,"Material was disorganized and difficult to understand as it was. I don't think I've spoken to a single person who actually understood
what was taught. I can't speak to the professor's teaching style outside of classroom since I never spoke to him but I genuinely think
his teaching style in lectures made an already difficult topic harder. The lectures were not effective to learning in any way."
S2023-20,2023,Spring,best,Async aspect
S2023-20,2023,Spring,best,good
S2023-20,2023,Spring,best,The example problem videos
S2023-20,2023,Spring,best,nothing
S2023-20,2023,Spring,best,the learning system
S2023-20,2023,Spring,best,I like how we were able to bring up challenging operations problems outside of the required work for further investigation.
S2023-20,2023,Spring,best,I liked learning about linear integration and how to use simplex.
S2023-20,2023,Spring,best,N/A
S2023-20,2023,Spring,best,I liked that we had the ability to learn the material through videos.
S2023-20,2023,Spring,best,The lectures being posted online was nice if we needed to review the material
S2023-20,2023,Spring,best,I can see the utility in what we are learning. More so than in other classes.
S2023-20,2023,Spring,change,respond to student emails
S2023-20,2023,Spring,change,I would host more office hours and have a more organized canvas page
S2023-20,2023,Spring,change,teach it and not make lecture long and boring and unclear and messy
S2023-20,2023,Spring,change,nothing
S2023-20,2023,Spring,change,I wouldn't do anything differently.
S2023-20,2023,Spring,change,"I would probably provide more example problems, like practice problem sets."
S2023-20,2023,Spring,change,"I would actually have good communication and make myself available for students that need extra help. I would assign homework
problems from the textbook for extra practice and I wouldn't make the course asynchronous when I am being paid to teach in–
person. And I would take a few English courses to fix my accent."
S2023-20,2023,Spring,change,I would include more practice problems
S2023-20,2023,Spring,change,The homework assignments are more challenging than the lecture notes
S2023-20,2023,Spring,growth,We did not have in person class which was actually quite helpful
S2023-20,2023,Spring,growth,great system.
S2023-20,2023,Spring,growth,very organized and well instructed class
S2023-20,2023,Spring,growth,I feel more confident with the principles of operations management.
S2023-20,2023,Spring,growth,His lectures were helpful in explaining the content in detail.
S2023-20,2023,Spring,growth,N/A
S2023-20,2023,Spring,growth,The lecture videos are helpful
S2023-20,2023,Spring,other,"It's kind of hard material so it is to learn the material since the lectures are just given to us, needs to be more proactive and interactive with the
easier to retain the information rather than just looking over the info before/during the homework assignments."
S2023-20,2023,Spring,other,NA
S2023-20,2023,Spring,other,N/A
S2023-20,2023,Spring,other,The TAs are the best. They are so helpful and add on to the Professor's class lectures. My TA is Ms. Camila and she is simply the best! She was so helpful and her recitations were well–taught!
S2023-20,2023,Spring,other,N/A
S2023-20,2023,Spring,other,N/A.
S2023-largeclass,2023,Spring,best,the applications
S2023-largeclass,2023,Spring,best,It is the right amount of challenging and rewarding
S2023-largeclass,2023,Spring,best,I like the way the course is set up.
S2023-largeclass,2023,Spring,best,I liked the way it was organized.
S2023-largeclass,2023,Spring,best,option of online or in person
S2023-largeclass,2023,Spring,best,n.a
S2023-largeclass,2023,Spring,best,Great
S2023-largeclass,2023,Spring,best,online
S2023-largeclass,2023,Spring,best,I like that there are frequent homework assignments to ensure student learning.
S2023-largeclass,2023,Spring,best,Its online
S2023-largeclass,2023,Spring,best,I liked being able to improve my excel skills along with analyzing data and probabilities.
S2023-largeclass,2023,Spring,best,recordings
S2023-largeclass,2023,Spring,best,I liked the asynchronous format.
S2023-largeclass,2023,Spring,best,I liked how many resources we had to help us in the class.
S2023-largeclass,2023,Spring,best,"I liked how lectures and HWs/Final were posted online. Also, had the option of attending in–person lectures."
S2023-largeclass,2023,Spring,best,The lectures
S2023-largeclass,2023,Spring,best,topic
S2023-largeclass,2023,Spring,best,everything
S2023-largeclass,2023,Spring,best,Online teaching and recitation
S2023-largeclass,2023,Spring,best,The flexible learning schedule for lectures and recitations.
S2023-largeclass,2023,Spring,best,It is asynchronous
S2023-largeclass,2023,Spring,best,It was simple and basic.
S2023-largeclass,2023,Spring,best,N/A
S2023-largeclass,2023,Spring,best,NA
S2023-largeclass,2023,Spring,best,Insightful videos
S2023-largeclass,2023,Spring,best,The more direct delivery method made content easier to understand and cut fluff that could have confused students
S2023-largeclass,2023,Spring,best,I enjoyed the professor's way of lecturing and how he was able to describe everything clearly and in a way easy to understand.
S2023-largeclass,2023,Spring,best,The examples made it much easier to understand and implement what the professor was teaching.
S2023-largeclass,2023,Spring,best,I liked that it heavily covered how to use Excel and Excel tools for analysis.
S2023-largeclass,2023,Spring,best,all of it
S2023-largeclass,2023,Spring,best,"I really liked the professor's teaching methods. He gave so many examples and extra material to aid in our learning which was
really helpful."
S2023-largeclass,2023,Spring,best,Asynchronous content
S2023-largeclass,2023,Spring,best,"I like how well organized and efficient this course is, in addition to how flexible the class times are"
S2023-largeclass,2023,Spring,best,Format of the course was very fair and made it enjoyable.
S2023-largeclass,2023,Spring,best,"I like how the course was almost completely online. I feel like the material wasn't overly complicated and I learned by doing the
Excel exercises. This meant that long lectures would have been mostly unnecessary so I was glad the layout was like this."
S2023-largeclass,2023,Spring,best,The flexible schedule and the availability of lectures online
S2023-largeclass,2023,Spring,best,None
S2023-largeclass,2023,Spring,best,The tests are online and very time manageable
S2023-largeclass,2023,Spring,best,Flexibility
S2023-largeclass,2023,Spring,best,Excel
S2023-largeclass,2023,Spring,best,the course material was not too hard to learn
S2023-largeclass,2023,Spring,best,the online lectures
S2023-largeclass,2023,Spring,best,I liked how the lectures were accessible online which made learning the material easier.
S2023-largeclass,2023,Spring,best,everything
S2023-largeclass,2023,Spring,best,The amount of recitation the TAs held as well as having the chapters recorded.
S2023-largeclass,2023,Spring,best,n/a
S2023-largeclass,2023,Spring,best,–
S2023-largeclass,2023,Spring,best,n/a
S2023-largeclass,2023,Spring,best,I liked how he gave us the option as online or in person.
S2023-largeclass,2023,Spring,best,the grading structure
S2023-largeclass,2023,Spring,best,I found the course material to be very interesting.
S2023-largeclass,2023,Spring,best,How it was remote and I learned at my own pace
S2023-largeclass,2023,Spring,best,N/A
S2023-largeclass,2023,Spring,best,I have an interest in mathematics so the course material is interesting to me
S2023-largeclass,2023,Spring,best,Recitations
S2023-largeclass,2023,Spring,best,The lectures were easy to understand and follow.
S2023-largeclass,2023,Spring,best,It was mostly online
S2023-largeclass,2023,Spring,best,The flexibility of lectures and homework assignments.
S2023-largeclass,2023,Spring,best,I liked the examples and resources given to us the best.
S2023-largeclass,2023,Spring,best,I liked how flexible this course was in terms of when we could watch lectures and attend recitations.
S2023-largeclass,2023,Spring,best,i like how the course was organized
S2023-largeclass,2023,Spring,best,I liked that we can learn the material at our own pace.
S2023-largeclass,2023,Spring,best,The balance between homework and exams
S2023-largeclass,2023,Spring,change,Nothing
S2023-largeclass,2023,Spring,change,N/A
S2023-largeclass,2023,Spring,change,offer extra credit
S2023-largeclass,2023,Spring,change,"I would make sure students are keeping up with the lectures through weekly quizzes, etc."
S2023-largeclass,2023,Spring,change,more grades
S2023-largeclass,2023,Spring,change,I would probably drop the lowest homework to help improve grades
S2023-largeclass,2023,Spring,change,Great
S2023-largeclass,2023,Spring,change,n/a
S2023-largeclass,2023,Spring,change,Slides were a little bit confusing
S2023-largeclass,2023,Spring,change,There isn't much I would change about the course. I thought Professor Ely did a great job teaching the course.
S2023-largeclass,2023,Spring,change,i dont even know – maybe have grades visible
